year,totalPeople,totalRate,young,senior,YoungRate,SeniorRate,totalSenior
2015,25247047,1015,22453892,2793155,889,111,316395255
2016,25370618,1016,22471503,2899115,886,114,316395255
2017,25508731,1011,22459049,3049682,880,120,316395255
2018,25618414,1011,22416719,3201695,875,125,332166142
2019,25728966,1010,22370005,3358961,869,131,348482013
2020,25834372,1007,22258919,3575453,862,138,370942401
2021,25935868,1007,22162045,3773823,854,146,391522687
2022,26030411,1006,22047085,3983326,847,153,413257987
2023,26117782,1006,21903785,4213997,839,161,437189404
2024,26197631,1005,21744689,4452942,830,170,461979223
2025,26269320,1005,21546949,4722371,820,180,489931664
2026,26332209,1004,21328707,5003502,810,190,519098152
2027,26385487,1004,21159423,5226064,802,198,542188285
2028,26428180,1003,20949059,5479121,793,207,568442181
2029,26460118,1003,20787828,5672290,786,214,588482878
2030,26481022,1002,20587020,5894002,777,223,611484826
2031,26490382,1002,20392647,6097735,770,230,632621506
2032,26489341,1001,20198199,6291142,763,237,652686896
2033,26477540,1000,19987137,6490403,755,245,673359620
2034,26455038,1000,19727182,6727856,746,254,697994649
2035,26421504,999,19482452,6939052,737,263,719905593
2036,26376728,999,19215049,7161679,728,272,743002469
2037,26320740,998,18959390,7361350,720,280,763717729
2038,26253750,998,18705065,7548685,712,288,783153167
2039,26176356,997,18455503,7720853,705,295,801015075
2040,26088816,997,18234236,7854580,699,301,814888845
2041,25991123,996,18027997,7963126,694,306,826150164
2042,25883689,996,17825855,8057834,689,311,835975831
2043,25766789,995,17619613,8147176,684,316,845244793
2044,25640765,995,17406277,8234488,679,321,854303148
