month,year,lineName,station,feePassenger,freePassenegr,totalPassenger
201803,2018,7호선,상동,413307,50935,464242
201803,2018,7호선,상봉(시외버스터미널),487494,75024,562518
201803,2018,7호선,신대방삼거리,432607,97259,529866
201803,2018,7호선,신중동,404047,51985,456032
201803,2018,7호선,신풍,301976,72961,374937
201803,2018,7호선,어린이대공원(세종대),510956,46712,557668
201803,2018,7호선,온수(성공회대입구),318550,37111,355661
201803,2018,7호선,용마산,168620,37019,205639
201803,2018,7호선,이수,451741,83925,535666
201803,2018,7호선,장승배기,272098,82476,354574
201803,2018,7호선,장암,68201,7891,76092
201803,2018,7호선,중계,404220,98610,502830
201803,2018,7호선,중곡,267650,64753,332403
201803,2018,7호선,중화,303689,64362,368051
201803,2018,7호선,천왕,230740,49187,279927
201803,2018,7호선,철산,667196,102495,769691
201803,2018,7호선,청담,550349,78590,628939
201803,2018,7호선,춘의,248880,30184,279064
201803,2018,7호선,태릉입구,263859,41881,305740
201803,2018,7호선,하계,539478,115660,655138
201803,2018,7호선,강남구청,414704,50724,465428
201803,2018,8호선,가락시장,174293,56587,230880
201803,2018,8호선,천호(풍납토성),505185,99944,605129
201803,2018,8호선,남한산성입구(성남법원.검찰청),401540,79778,481318
201803,2018,8호선,단대오거리,305447,69748,375195
201803,2018,8호선,석촌,219853,64459,284312
201803,2018,8호선,송파,141639,38398,180037
201803,2018,8호선,수진,128482,48347,176829
201803,2018,8호선,모란,100538,59455,159993
201803,2018,8호선,몽촌토성(평화의문),171672,45504,217176
201803,2018,8호선,문정,450062,51030,501092
201803,2018,8호선,복정,335028,51186,386214
201803,2018,8호선,산성,151160,35125,186285
201803,2018,8호선,신흥,108001,44826,152827
201803,2018,8호선,암사,488324,98313,586637
201803,2018,8호선,잠실(송파구청),380855,68195,449050
201803,2018,8호선,장지,509265,74321,583586
201803,2018,8호선,강동구청,280238,68384,348622
201803,2018,9호선,가양,529079,128842,657921
201803,2018,9호선,개화,177139,36592,213731
201803,2018,9호선,고속터미널,359801,51992,411793
201803,2018,9호선,동작(현충원),44375,13019,57394
201803,2018,9호선,등촌,249927,83518,333445
