month,year,lineName,station,feePassenger,freePassenegr,totalPassenger
201803,2018,7호선,상동,413307,50935,464242
201803,2018,7호선,상봉(시외버스터미널),487494,75024,562518
201803,2018,7호선,신대방삼거리,432607,97259,529866
201803,2018,7호선,신중동,404047,51985,456032
201803,2018,7호선,신풍,301976,72961,374937
201803,2018,7호선,어린이대공원(세종대),510956,46712,557668
201803,2018,7호선,온수(성공회대입구),318550,37111,355661
201803,2018,7호선,용마산,168620,37019,205639
201803,2018,7호선,이수,451741,83925,535666
201803,2018,7호선,장승배기,272098,82476,354574
201803,2018,7호선,장암,68201,7891,76092
201803,2018,7호선,중계,404220,98610,502830
201803,2018,7호선,중곡,267650,64753,332403
201803,2018,7호선,중화,303689,64362,368051
201803,2018,7호선,천왕,230740,49187,279927
201803,2018,7호선,철산,667196,102495,769691
201803,2018,7호선,청담,550349,78590,628939
